errors_l,zeros_l,deltas_l,elapsed_l
0.0512081223606832,0,0.1,3.670276363
0.10231478234634,0,0.2,2.331481068
0.153010480434459,4,0.3,2.483322067
0.202698293639171,7,0.4,2.787014671
0.25287538855509,11,0.5,3.571015757
0.302860185314523,15,0.6,3.402911713
0.352806633789621,18,0.7,2.747818038
0.402866083728681,19,0.8,2.271675434
0.45277819574431,22,0.9,2.329968118
0.502535676579174,24,1,2.274469352
0.552387306374567,26,1.1,2.235437635
0.602196364318415,28,1.2,2.3077768
0.651961896425501,31,1.3,2.284252679
0.701704054680964,31,1.4,2.227392173
0.751469548747224,31,1.5,2.280043008
0.801334583713507,32,1.6,2.356911234
0.851184774933915,35,1.7,2.367509413
0.901043294412073,38,1.8,2.336603455
0.950881440436479,38,1.9,2.446275665
1.00073809178172,41,2,2.411021895
1.05061566402765,43,2.1,2.575694981
1.10055244274627,43,2.2,2.815753308
1.15052984572073,45,2.3,3.37704639
1.20047484089577,47,2.4,2.621028107
1.2504466265543,48,2.5,2.304939803
1.300444472466,50,2.6,2.567701922
1.35044335724873,51,2.7,2.305750294
1.40044073950154,53,2.8,2.273822178
1.4504350967701,53,2.9,2.185640573
1.5004302293827,53,3,2.170517221
1.55042527556471,53,3.1,2.154335855
1.60042207906682,53,3.2,2.471542408
1.65041439884398,54,3.3,2.230960085
1.70041094471267,54,3.4,2.403918898
1.75038683187997,55,3.5,2.132500775
1.80036399213778,56,3.6,2.442515755
1.85034035578222,56,3.7,2.545179212
1.90031807936964,56,3.8,2.550957983
1.95029238308537,57,3.9,2.614255287
2.00025338158737,58,4,2.568976816
2.05021064222055,59,4.1,2.620372328
2.10015764762972,61,4.2,2.749995239
2.15009215893879,61,4.3,2.763151864
2.20001692136407,62,4.4,2.508603311
2.24993964037352,63,4.5,2.506456583
2.2998619864627,63,4.6,2.624732126
2.34978352586671,64,4.7,2.581284581
2.39976756168997,63,4.8,2.455953355
2.44975933926041,65,4.9,2.648404126
2.49975096306565,66,5,2.734735601
2.54974279905828,66,5.1,2.478326512
2.59973482577187,66,5.2,2.501509493
2.64972724262661,66,5.3,2.582886717
2.69971900295742,67,5.4,2.550040961
2.74971145524945,67,5.5,2.549059567
2.79970280340673,67,5.6,2.502043518
2.84969444137609,67,5.7,2.518905451
2.89968630829644,67,5.8,2.46222994
2.94967721968745,67,5.9,2.68329949
2.99966916972227,67,5.99999999999999,2.677042483
3.04966023821137,67,6.09999999999999,2.615936611
3.09965171083967,68,6.19999999999999,2.549785688
3.14964522787063,69,6.29999999999999,2.558101746
3.19963692181932,69,6.39999999999999,2.57418527
3.24962955290851,69,6.49999999999999,2.567128039
3.29962455114698,69,6.59999999999999,2.615863511
3.34961801190796,69,6.69999999999999,2.573646279
3.39960536672593,71,6.79999999999999,2.562675262
3.44959443953532,71,6.89999999999999,2.561639624
3.49958617007057,71,6.99999999999999,2.5768444
3.54957849146497,71,7.09999999999999,2.515761787
3.59957086335861,71,7.19999999999999,2.568595829
3.64956287111493,71,7.29999999999999,2.561351494
3.6995505227316,73,7.39999999999999,2.72094896
3.74953742967162,74,7.49999999999999,2.526839296
3.79952532114218,74,7.59999999999999,2.570919366
3.84951283848931,74,7.69999999999999,2.552797164
3.89949730043872,75,7.79999999999999,2.577233546
3.94948164631096,75,7.89999999999999,2.473761575
3.99946596484602,76,7.99999999999999,2.56204958
4.04945080028408,76,8.09999999999999,2.512340941
4.09943535864578,77,8.19999999999999,2.592389076
4.14941970926285,77,8.29999999999999,2.598436268
4.19940205772105,79,8.39999999999999,2.759978792
4.24938384681902,79,8.49999999999999,2.543514385
4.29936601457287,79,8.59999999999999,2.559436982
4.34934689623932,79,8.69999999999999,2.512418957
4.39932623484906,79,8.79999999999998,2.551254088
4.44930683441076,79,8.89999999999998,2.527772402
4.49929119497818,80,8.99999999999998,2.434325733
4.54927233881186,80,9.09999999999998,2.229568888
4.5992527091973,80,9.19999999999998,2.21981824
4.64923343248722,80,9.29999999999998,2.206158741
4.69921382034687,80,9.39999999999998,2.095068381
4.74919451598166,80,9.49999999999998,2.088086142
4.79917543926903,80,9.59999999999998,2.07657375
4.84915648002611,80,9.69999999999998,2.092899293
4.89913758262705,80,9.79999999999998,2.071359876
4.94911864112232,80,9.89999999999998,2.114002321
4.99909959102871,80,9.99999999999998,2.063992216
