all_elapsed_1,all_elapsed_2,all_elapsed_3,all_elapsed_4
40.931940244,29.157798088,29.247155529,114.676009933
50.051668306,31.540786491,42.205870692,111.951215793
48.896482479,30.489160193,39.57445385,109.948343496
38.560273029,22.315815062,28.52027179,89.050303088
37.944414099,24.877359929,31.106963965,92.901977029
41.937216508,22.730568286,29.102367233,98.347024326
40.378278544,23.253583349,30.757910165,91.204662255
40.13067161,23.342883298,29.854033208,91.147990444
40.677835732,23.21572351,30.360449587,89.882728523
40.069602192,22.68255733,33.098149794,119.856697267
54.420403633,32.594199753,43.121212275,116.205771542
63.228167002,31.272307263,40.540119604,107.714734795
58.832891273,30.7314169,40.544835554,109.617052579
53.878607807,23.520383864,29.206730483,83.213558883
41.707426969,21.711644631,28.201681517,80.719827361
48.133899731,22.817810414,30.834826331,84.699957704
44.391908934,23.667255636,32.628296318,86.774560623
42.126440197,22.215649319,28.085771078,80.660570262
41.847350722,21.891213545,28.015665675,81.123073192
41.694699721,21.873465445,28.100881906,80.151650528
42.370234781,21.716368234,27.516313243,81.088265528
42.021561595,21.990871878,27.648429432,81.038216477
43.054823718,22.303176015,25.437228893,78.16513528
40.450278897,21.291214787,25.70287612,79.275271031
40.302390221,21.282977238,25.21920275,78.073051014
41.019759288,21.17425577,26.889927275,76.679987661
42.581649224,21.195017885,27.612627145,76.064306279
42.596446124,23.464996092,29.979915984,78.733210342
41.409093129,22.960823365,31.76733097,76.00173168
42.458707477,21.959242309,30.77332944,73.613302071
40.763539073,22.494533779,30.201568408,74.428858558
40.752262216,22.349495124,27.840500977,72.761043946
40.318538624,22.12893366,27.209023666,76.227799276
44.070842385,22.191766186,26.999235593,71.734321281
40.291684942,23.639141529,28.809306,72.280632073
38.499171844,21.340782659,26.967804135,69.064050778
40.225240367,21.899794353,25.606503183,67.638616499
38.618489541,21.607803204,25.778046899,67.047130143
37.917142796,22.182793371,29.894312829,68.726602051
37.85796015,21.0355006,29.116880234,78.09098986
41.30276882,22.982551667,33.375054041,73.2397429
39.278042135,21.582669451,26.802687645,61.463915163
34.723791356,19.937879904,25.256146567,73.284001402
37.419136361,21.402152416,25.177032499,64.098241592
36.754196021,20.636039785,24.753794269,62.213461423
34.718319343,20.283012343,23.385116152,60.729310508
34.870178121,20.018781993,24.198660952,60.637976779
34.313279537,19.709608017,23.459051441,68.700241586
47.168475681,26.383131168,34.722473884,75.013084034
43.657571735,24.821506485,31.829784263,75.029197091
44.036088685,24.249445922,30.152124519,72.428904953
43.016053425,25.15189602,30.241391983,71.443920599
43.132169864,25.42129652,32.887805006,71.714531675
37.076352316,20.701568965,22.115163432,54.184979902
32.586249169,18.32565205,21.714888788,52.409673619
32.39156372,17.959606544,21.83685195,51.394911658
30.152787413,17.454592873,21.371109469,60.347237072
44.764280711,23.523953444,27.770334486,82.252957858
52.325536209,29.225469116,35.764199029,81.959222854
48.80088456,28.56704499,35.232877359,76.552569659
48.112850018,28.099392289,33.147427711,82.49791308
51.634205461,27.465613142,33.940847573,76.045933952
45.858867583,27.680943174,30.395656651,61.501175958
35.856390652,21.224116776,22.819382774,43.892938714
26.668480831,15.473538511,17.298154315,43.213127502
26.151938159,15.334139978,15.883230206,48.325921163
45.914195274,27.300169357,26.461244186,65.159733983
42.613176752,25.60514839,29.131797403,74.512439196
47.308885274,25.623172317,26.637587626,65.348212517
43.249780383,24.358116496,27.361265827,61.931612962
45.142529357,24.186446248,25.940456973,57.748922265
38.309531999,22.373652302,27.44781074,63.550216537
40.260481103,22.973375077,24.776807463,55.357626131
35.723276306,20.414946301,23.724983764,31.936453264
21.294722623,12.225292039,16.228705261,32.104610543
20.444666188,11.933594564,16.606914225,32.769624611
20.207751199,11.708361383,14.170861437,30.317108869
19.393711224,11.294783466,13.559864303,29.118774722
17.861378065,10.494635717,13.177474153,35.809351686
23.08760669,13.367892281,18.582481609,34.522581085
21.309399432,12.356166897,16.835616145,31.767639538
20.05980613,11.335738319,22.399783301,37.421629378
25.636065575,13.987658099,20.186612007,37.616868943
24.852470003,13.761583919,18.082182368,35.820981844
23.382261554,12.509606505,16.436051886,30.547810916
21.173316054,12.553055692,15.71129202,33.740283943
21.114381209,11.949369002,16.52155013,29.477008831
20.036459284,10.315275055,15.846921709,25.638098389
17.494512198,10.283600259,13.678074202,23.667932541
15.98912235,8.790880075,12.410058508,21.693993929
14.549773696,8.237369006,10.319505804,20.192202824
13.724844989,7.243820894,9.898883549,18.030393312
12.417911361,6.397247636,8.940136665,15.802499673
10.464531295,5.187872864,5.908953702,11.685354423
7.294641394,3.904651612,4.591507618,10.005666993
6.926365105,3.458259639,3.995288185,8.262090903
4.797885819,2.831618516,3.282944315,6.351126329
3.177212245,2.095452075,2.43481041,4.792396002
2.691505427,1.599640473,1.598837982,3.2385909
0.77459871,0.646958113,0.891323436,0.986139642
